OpportunityId,Name,Subject,Country,SalesUnitId,ADUCategory,Product_Family,Application,Owner,Prognosis,PrognosisDate,ProbabilityId,ProcessName,ADUOpportunityType,SegmentId,ADUEndCustomer,ADULifeOfProject,ADUEstimatedPriceEndCustomer,ADUPiecePotential,annualTotal,ADUCommentsPMLocalValidation,AduLevelOfComplexity,ADUStrategicCustomer,AduPriorityMarket,Date_Created,OPENEDDATE,Opportunity_Number,PROGNOSISDAYS,DATAAREAID,ESTIMATEDREVENUE
OP-007343,RGDH HYDRAULICS,3250RE000 - 500 pièces par an,France,NORD_1/2_EST,1-Joystick,1-Joystick,other,Sales Person 7,12 months,2/1/20,10,Quotation,Quote,AgM,Other,0,60.0,500,0.0,No additional comments.,Unknown,No,Non Strategic,2/6/19 0:00,2/6/19,OP-007343,360,fr02,30000
OP-005911,CONTROL DEVICES,AU - Control Dev. - SMR Autom. - PBAT,Australia,EXPORT1,4-PBA,1-SWITCH,to be checked,Sales Person 5,3 months,5/17/18,10,CPI,CPI,Indirect Sales,SMR Automotive,2,8.0,1700,13600.0,No additional comments.,Level 2 - Minor product modification,No,Non Strategic,2/16/18 0:00,2/16/18,OP-005911,90,fr02,8000
OP-005913,DDZT,TELECOMMANDE STC-APC,France,SUD_OUEST,2-PCB-Based Keyboard,1-KEYBOARD,military,Sales Person 30,12 months,2/11/19,30,CPI,CPI,DgE,Other,3,150.0,2400,360000.0,No additional comments.,Level 3 - Heavy product modification,No,Focus,2/16/18 0:00,2/16/18,OP-005913,360,fr02,150
OP-007346,TLD EUROPE SAINT LIN (79),TLD / Q22F5BZZRYG28E,France,OUEST,1-Indicator,1-Indicator,airport vehicles,Sales Person 6,1 month,3/8/19,70,CPICC,CPI,MaH,Other,5,10.0,25,250.0,"Hi Steve,
Could you please decline this opportunity : individual packing for only 25 pieces of Q22F5BZZRYG28E (per year)!
Thank you,
Hanh",Unknown,No,Non Strategic,2/6/19 0:00,2/6/19,OP-007346,30,fr02,250
OP-007347,TERBERG AUTOMOTIVE,QN-19217 - P65THR101L254,Netherlands,BE-NORTH,4-P65,1-SWITCH,custom made elec. appl. vehicles,Sales Person 21,1 month,3/8/19,10,Quotation,Quote,MaH,Other,0,1.94,3000,0.0,No additional comments.,Unknown,No,Non Strategic,2/6/19 0:00,2/6/19,OP-007347,30,fr02,5580
OP-007348,MEDIPREMA,Prix Spécial,France,OUEST,1-IDEC,1-IDEC,medical,Sales Person 38,<  1 month,2/21/19,70,SpecialPrice,SP,,Other,0,0.0,0,0.0,No additional comments.,Unknown,No,Non Strategic,2/6/19 0:00,2/6/19,OP-007348,15,fr02,23
OP-005914,DDZB,Jumelles caméras,France,NORD_1/2_EST,1-SWITCH,1-SWITCH,other,Sales Person 7,12 months,2/11/19,10,Quotation,Quote,DgE,Other,0,0.0,0,0.0,No additional comments.,Unknown,No,Non Strategic,2/16/18 0:00,2/16/18,OP-005914,360,fr02,5000
OP-005915,UNIFIED GLOBAL TECHNOLOGIES PT,IN - BEL MAchilipatam - SRTI Surveilance System 12144-12X778,Singapore,EXPORT1,1-SWITCH,1-SWITCH,srti surveilance system,Sales Person 4,12 months,2/11/19,10,Quotation,Quote,Indirect Sales,Other,0,0.0,0,0.0,No additional comments.,Unknown,No,Non Strategic,2/16/18 0:00,2/16/18,OP-005915,360,fr02,240000
OP-007351,ACOEM,CLAVIER P300STB600C,France,FRANCE,1-KEYBOARD,1-KEYBOARD,military,Sales Person 10,<  1 month,2/22/19,50,CPI,CPI,,Other,10,7.0,500,3500.0,No additional comments.,Level 2 - Minor product modification,No,Focus,2/7/19 0:00,2/7/19,OP-007351,15,fr02,3500
OP-005917,AUBINEAU CONSTRUCTEUR,Aubineau / Bouton plafonnier,France,OUEST,1-SWITCH,1-SWITCH,other,Sales Person 6,3 months,5/20/18,30,CPI,CPI,Vehicles,Aubineau,4,20.0,500,10000.0,No additional comments.,Level 2 - Minor product modification,No,Non Strategic,2/19/18 0:00,2/19/18,OP-005917,90,fr02,10000
