OpportunityId,Name,Subject,Country,SalesUnitId,ADUCategory,Product_Family,Application,Owner,Prognosis,PrognosisDate,ProbabilityId,ProcessName,ADUOpportunityType,SegmentId,ADUEndCustomer,ADULifeOfProject,ADUEstimatedPriceEndCustomer,ADUPiecePotential,annualTotal,ADUCommentsPMLocalValidation,AduLevelOfComplexity,ADUStrategicCustomer,AduPriorityMarket,Date_Created,OPENEDDATE,Opportunity_Number,PROGNOSISDAYS,DATAAREAID,ESTIMATEDREVENUE
OP-005950,Komatsu Forest AB,3x FD w. customized symbols/harness,Sweden,LENNARTH_ENGMAN,4-Component All Switches,1-SWITCH,other,Sales Person 26,12 months,2/18/19,50,CPI,CPI,MaH,Other,4,13.0,2700,35100.0,No additional comments.,Level 2 - Minor product modification,No,Focus,2/23/18 0:00,2/23/18,OP-005950,360,fr02,35000
OP-005951,DDZT,CLAVIER SIMULATEUR TIR,France,SUD_OUEST,1-KEYBOARD,1-KEYBOARD,dge,Sales Person 30,18 months,8/20/19,20,CPI,CPI,DgE,DGA,2,100.0,50,5000.0,No additional comments.,Level 2 - Minor product modification,No,Focus,2/26/18 0:00,2/26/18,OP-005951,540,fr02,10000
OP-005952,RENEKA,Bouton Family 9186460,France,NORD_1/2_EST,1-SWITCH,1-SWITCH,other,Sales Person 7,1 month,3/28/18,80,CPI,CPI,Inst. Cons. Comp,Other,2,12.0,500,6000.0,No additional comments.,Level 1 - No product modification,No,Standard,2/26/18 0:00,2/26/18,OP-005952,30,fr02,5000
OP-005953,APEM INC,Amazon: Estop Cross RAFI + étanchéité AR,United States,SUBSIDIARY,1-SWITCH,1-SWITCH,robots,Sales Person 14,9 months,11/23/18,10,CPI,CPI,Indirect Sales,AMAZON ROBOTICS,4,10.0,20000,200000.0,No additional comments.,Level 4 - Customized product,Yes,Standard,2/26/18 0:00,2/26/18,OP-005953,270,fr02,500000
OP-005954,BEMAC SA,QN-14127 - LK,Belgium,South-East,3-JD,1-SWITCH,fire detection application,Sales Person 20,1 month,3/29/18,10,Quotation,Quote,Other Electr. Appli,Other,0,6.09,1000,0.0,No additional comments.,Unknown,No,Non Strategic,2/27/18 0:00,2/27/18,OP-005954,30,fr02,6000
OP-005955,HEMODIA,Telecommande pompe,France,SUD_OUEST,2- Miscellaneaous Keyboard,1-KEYBOARD,medical,Sales Person 30,12 months,2/22/19,20,CPI,CPI,Medical,Other,5,150.0,1000,150000.0,No additional comments.,Level 3 - Heavy product modification,No,Standard,2/27/18 0:00,2/27/18,OP-005955,360,fr02,70000
OP-005956,CONTROL DEVICES,AU - Control Dev. - SMR Autom. - PBAT,Australia,EXPORT1,4-PBA,1-SWITCH,to be checked,Sales Person 5,3 months,5/28/18,10,CPI,CPI,Indirect Sales,SMR Automotive,2,8.0,1700,13600.0,No additional comments.,Level 1 - No product modification,No,Focus,2/27/18 0:00,2/27/18,OP-005956,90,fr02,8000
OP-005957,DESIGNA Verkehrsleittech. GmbH,Designa AV 19mm,Germany,DE-5PV,1-SWITCH,1-SWITCH,phone button for street barrier,Sales Person 36,<  1 month,3/14/18,80,CPI,CPI,Other Electr. Appli,DESIGNA Verkehrsleit,3,10.0,300,3000.0,No additional comments.,Level 2 - Minor product modification,No,Standard,2/27/18 0:00,2/27/18,OP-005957,15,fr02,2000
OP-005958,GEBR. KOERTS TECHNIEK B.V.,BD140A01BK0000,Netherlands,BE-NORTH,4-BD Series,1-Joystick,lift platform,Sales Person 21,3 months,5/29/18,30,Quotation,Quote,MaH,Other,0,40.0,250,0.0,No additional comments.,Unknown,No,Non Strategic,2/28/18 0:00,2/28/18,OP-005958,90,fr02,10000
OP-005959,ART4  TECHNICAL SYSTEMS BV,IDEC / CW4L-M1E11Q4G,Netherlands,BE-NORTH,2-Pushbutton,1-SWITCH,hydraulic system,Sales Person 21,3 months,5/29/18,10,Quotation,Quote,Other Electr. Appli,Other,0,12.0,1000,0.0,No additional comments.,Unknown,No,Non Strategic,2/28/18 0:00,2/28/18,OP-005959,90,fr02,13000
OP-005960,IDEC CORPORATION,JP - IDEC - KOMATSU - KL36*AKJA126NXX42 with wires,Japan,EXPORT1,4-KL,1-SWITCH,wheel loarder,Sales Person 3,12 months,2/23/19,10,CPI,CPI,Ind. Automation,KOMATSU,1,4.8,5700,27360.0,No additional comments.,Level 2 - Minor product modification,Yes,Focus,2/28/18 0:00,2/28/18,OP-005960,360,fr02,27360
OP-005961,FLOWBIRD,Clavier dérivé du P8202010003010,France,CENTRE_IDF_1/2_EST,1-KEYBOARD,1-KEYBOARD,parcmètre,Sales Person 2,<  1 month,3/15/18,30,CPI,CPI,Security,Other,3,20.0,500,10000.0,No additional comments.,Level 2 - Minor product modification,No,Standard,2/28/18 0:00,2/28/18,OP-005961,15,fr02,10000
OP-005962,LECTRA,pose clavier,France,SUD_OUEST,2-Membrane & Overlay,1-KEYBOARD,other,Sales Person 30,1 month,3/30/18,30,CPI,CPI,Ind. Automation,Other,10,25.0,100,2500.0,No additional comments.,Level 2 - Minor product modification,No,Standard,2/28/18 0:00,2/28/18,OP-005962,30,fr02,10
OP-005963,ELTRONIKA,PL - Eltronika - 636H - 637H levier + traitemt,Poland,EXPORT2,4-600H,1-SWITCH,other,Sales Person 5,1 month,3/30/18,10,CPI,CPI,Indirect Sales,?,2,2.0,500,1000.0,No additional comments.,Level 2 - Minor product modification,No,Non Strategic,2/28/18 0:00,2/28/18,OP-005963,30,fr02,2000
OP-005964,APEM INC,DRS: IZ Colerette rabaissée suite OP5944,United States,SUBSIDIARY,1-SWITCH,1-SWITCH,other,Sales Person 14,9 months,11/26/18,20,CPI,CPI,DgE,DRS Technologies,2,12.0,20000,240000.0,No additional comments.,Level 3 - Heavy product modification,No,Focus,3/1/18 0:00,3/1/18,OP-005964,270,fr02,100000
OP-005966,HAULOTTE GROUP,PROJET ATLAS KEYBOARD MEMBRANE CAN (CISEAUX DIESEL),France,FRANCE,1-KEYBOARD,1-KEYBOARD,other,Sales Person 10,3 months,5/30/18,70,CPI,CPI,MaH,Other,5,95.0,700,66500.0,No additional comments.,Level 3 - Heavy product modification,No,Standard,3/1/18 0:00,3/1/18,OP-005966,90,fr02,66500
OP-005967,BENNIKE+WANDER A/S,PBAR9 ATEX Bicolour LED,Denmark,SE-DISTRIBUTION,3-PBA,1-SWITCH,food machine,Sales Person 25,6 months,8/28/18,30,CPI,CPI,Indirect Sales,Fossanalytics,5,45.0,100,4500.0,No additional comments.,Level 2 - Minor product modification,No,Standard,3/1/18 0:00,3/1/18,OP-005967,180,fr02,22500
OP-005968,NP CAPELEC,NP Capelec / Clavier 3 touches 1led,France,OUEST,1-KEYBOARD,1-KEYBOARD,other,Sales Person 6,12 months,2/24/19,30,CPI,CPI,MaH,Other,2,10.0,500,5000.0,No additional comments.,Level 1 - No product modification,No,Standard,3/1/18 0:00,3/1/18,OP-005968,360,fr02,5000
OP-005969,DESIGNA Verkehrsleittech. GmbH,Designa AV 19mm,Germany,DE-5PV,1-SWITCH,1-SWITCH,phone button for street barrier,Sales Person 36,<  1 month,3/16/18,80,CPI,CPI,Other Electr. Appli,DESIGNA Verkehrsleit,3,10.0,500,5000.0,No additional comments.,Level 2 - Minor product modification,No,Standard,3/1/18 0:00,3/1/18,OP-005969,15,fr02,5000
OP-005970,MELJAC,Chiffrage clavier liseuse P1552218350006A,France,CENTRE_IDF_1/2_EST,1-KEYBOARD,1-KEYBOARD,domestique,Sales Person 2,<  1 month,3/17/18,30,CPI,CPI,Inst. Cons. Comp,Other,5,19.99,1000,19990.0,No additional comments.,Level 3 - Heavy product modification,No,Standard,3/2/18 0:00,3/2/18,OP-005970,15,fr02,10000
OP-005971,CLAAS TRACTOR SAS,Armrest architecture filaire 1 carte CAN,France,CENTRE_IDF_1/2_EST,1-KEYBOARD,1-KEYBOARD,other,Sales Person 2,12 months,2/25/19,30,CPI,CPI,AgM,Other,1,1050.0,1500,1575000.0,No additional comments.,Level 4 - Customized product,No,Focus,3/2/18 0:00,3/2/18,OP-005971,360,fr02,1575000
OP-005973,APEM INC,DRS: IZ canon spé + fil PTFE,United States,SUBSIDIARY,1-SWITCH,1-SWITCH,other,Sales Person 14,9 months,11/27/18,20,CPI,CPI,DgE,DRS Technologies,2,12.0,20000,240000.0,No additional comments.,Level 3 - Heavy product modification,No,Focus,3/2/18 0:00,3/2/18,OP-005973,270,fr02,100000
OP-005974,DDZV,KDU1080/V2 Backlight Tolerance,Belgium,BE-SOUTH-WEST,2-PCB-Based Keyboard,1-KEYBOARD,avionics,Sales Person 27,<  1 month,3/17/18,50,CPI,CPI,DgE,HONEYWELL,10,122.28,800,97824.0,No additional comments.,Level 3 - Heavy product modification,No,Focus,3/2/18 0:00,3/2/18,OP-005974,15,fr02,100000
OP-005976,STELIA AEROSPACE SAS,Stelia / Clavier  SFCU,France,OUEST,1-KEYBOARD,1-KEYBOARD,other,Sales Person 6,18 months,8/24/19,30,CPI,CPI,Other Mil.Aero,Other,5,200.0,100,20000.0,No additional comments.,Level 3 - Heavy product modification,No,Focus,3/2/18 0:00,3/2/18,OP-005976,540,fr02,20000
OP-005977,DDZT,CLAVIER LOCEMB,France,SUD_OUEST,2-Membrane & Overlay,1-KEYBOARD,mil,Sales Person 30,12 months,2/25/19,30,CPI,CPI,DgE,Other,2,40.0,250,10000.0,No additional comments.,Level 2 - Minor product modification,No,Focus,3/2/18 0:00,3/2/18,OP-005977,360,fr02,500
OP-005978,GREGOIRE,Q14 + fils et connecteur,France,SUD_OUEST,1-Indicator,1-Indicator,other,Sales Person 30,12 months,2/28/19,10,CPICC,CPI,AgM,Other,1,13.0,200,2600.0,"This is following OP-005106 (your OP-003687)
base part numbers have been updated :
- terminals
- bezel finish
- led colours

Please provide updated drawings and quotation",Unknown,No,Non Strategic,3/5/18 0:00,3/5/18,OP-005978,360,fr02,2500
OP-005980,APEM INC,"BRP: IPP Marqué ""Hazard""",United States,SUBSIDIARY,1-SWITCH,1-SWITCH,other,Sales Person 14,6 months,9/1/18,30,CPI,CPI,Indirect Sales,BRP,2,6.0,1000,6000.0,No additional comments.,Level 2 - Minor product modification,No,Standard,3/5/18 0:00,3/5/18,OP-005980,180,fr02,4000
OP-005981,Förster technik,"AV9SLD208V002K with wire (60cm Litzen 0,25²)",Germany,GERMANY,1-SWITCH,1-SWITCH,calf feeding machine,Sales Person 35,<  1 month,3/20/18,30,CPI,CPI,Ind. Automation,Other,5,10.0,5000,50000.0,No additional comments.,Level 1 - No product modification,No,Standard,3/5/18 0:00,3/5/18,OP-005981,15,fr02,50000
OP-005982,CEQUAD,Cequad /Clavier Areva,France,OUEST,1-KEYBOARD,1-KEYBOARD,other,Sales Person 6,1 month,4/4/18,70,CPI,CPI,Other Electr. Appli,Other,2,30.0,40,1200.0,No additional comments.,Level 1 - No product modification,No,Standard,3/5/18 0:00,3/5/18,OP-005982,30,fr02,1000
OP-005983,MX,MX / HF55 - Ressort axe Z renforcé - V2,France,OUEST,1-Joystick,1-Joystick,agm,Sales Person 6,12 months,2/28/19,40,CPI,CPI,AgM,Other,5,150.0,1000,150000.0,No additional comments.,Level 3 - Heavy product modification,No,Standard,3/5/18 0:00,3/5/18,OP-005983,360,fr02,300000
OP-005984,APEM GMBH,König&Meyer: AV22LB renforcé,Germany,SUBSIDIARY,1-SWITCH,1-SWITCH,other,Sales Person 14,6 months,9/1/18,30,CPI,CPI,Indirect Sales,König&Meyer,4,20.0,1000,20000.0,No additional comments.,Level 3 - Heavy product modification,No,Standard,3/5/18 0:00,3/5/18,OP-005984,180,fr02,12000
OP-005985,DDDP,SP - ERMEC - PIEFDRAFITA - QRM65BXXH*12E,Spain,EXPORT1,4-QRM8,1-Indicator,dge,Sales Person 3,12 months,2/28/19,10,CPICC,CPI,DgE,client,10,15.0,60,900.0,No additional comments.,Unknown,No,Non Strategic,3/5/18 0:00,3/5/18,OP-005985,360,fr02,9000
OP-005986,HAULOTTE GROUP,AV9SLD2486-003K,France,SUD_EST,1-SWITCH,1-SWITCH,other,Sales Person 10,6 months,9/1/18,70,SpecialPrice,SP,MaH,Other,0,0.0,0,0.0,No additional comments.,Unknown,No,Non Strategic,3/5/18 0:00,3/5/18,OP-005986,180,fr02,45000
OP-005987,DDZT,Simulateur médical,France,SUD_OUEST,3-AC Flexible Membrane Keyboard,1-KEYBOARD,dge,Sales Person 30,12 months,2/28/19,30,CPI,CPI,DgE,Other,2,2.8,9600,26880.0,No additional comments.,Level 2 - Minor product modification,No,Standard,3/5/18 0:00,3/5/18,OP-005987,360,fr02,30000
OP-005988,SINO-FRANCE TRADING,Sino Trading / 8636 - shape shift,France,OUEST,1-SWITCH,1-SWITCH,other,Sales Person 6,12 months,2/28/19,30,CPI,CPI,Other applications,Other,1,2.76,100000,276000.0,No additional comments.,Level 3 - Heavy product modification,No,Standard,3/5/18 0:00,3/5/18,OP-005988,360,fr02,200000
OP-005989,DDZY,Boîtier extinction,France,NORD_1/2_EST,1-KEYBOARD,1-KEYBOARD,boîtier extinction,Sales Person 7,3 months,6/4/18,30,CPI,CPICC,DgE,Other,5,350.0,500,175000.0,No additional comments.,Level 4 - Customized product,No,Non Strategic,3/6/18 0:00,3/6/18,OP-005989,90,fr02,150000
OP-005990,PRESSES ET CISAILLES LEFORT,ES1S41653001 surmoulé + cable  + connecteur,Belgium,BE-SOUTH-WEST,3-Emergency stop,1-SWITCH,car presses,Sales Person 20,<  1 month,3/21/18,30,CPI,CPI,Other Electr. Appli,LEFORT,10,50.0,100,5000.0,No additional comments.,Level 1 - No product modification,No,Standard,3/6/18 0:00,3/6/18,OP-005990,15,fr02,7000
OP-005993,HYDEQUIP,X6 E STOP // MANITOU,France,NORD_1/2_EST,1-SWITCH,1-SWITCH,mah,Sales Person 7,12 months,3/1/19,20,Quotation,Quote,AgM,Other,0,8.5,500,0.0,No additional comments.,Unknown,No,Non Strategic,3/6/18 0:00,3/6/18,OP-005993,360,fr02,42000
OP-005994,GOUPIL INDUSTRIE,CABINE VEHICULE ELEC,France,SUD_OUEST,2-All Keyboards,1-KEYBOARD,agm,Sales Person 30,12 months,3/2/19,30,CPI,CPI,Vehicles,Other,5,35.0,300,10500.0,No additional comments.,Level 2 - Minor product modification,No,Standard,3/7/18 0:00,3/7/18,OP-005994,360,fr02,300
OP-005995,ERMEC SL,SP -ERMEC - IKUSI - HRS202B friction hold without detent,Spain,EXPORT1,3-HR,1-SWITCH,panneau control e radio commande,Sales Person 3,18 months,8/29/19,10,CPI,CPI,MaH,IKUSI,2,15.0,1000,15000.0,No additional comments.,Level 3 - Heavy product modification,No,Non Strategic,3/7/18 0:00,3/7/18,OP-005995,540,fr02,15000
OP-005996,SINO-FRANCE TRADING,Sino Trading / 8636 - shape shift,France,OUEST,1-SWITCH,1-SWITCH,other,Sales Person 6,12 months,3/2/19,30,CPI,CPI,Other applications,Other,1,2.76,100000,276000.0,No additional comments.,Level 2 - Minor product modification,No,Standard,3/7/18 0:00,3/7/18,OP-005996,360,fr02,200000
OP-007185,NOREMAT,Joystick 3140RX000 avec connecteur Molex 43020-0800,France,NORD_1/2_EST,1-Joystick,1-Joystick,agri,Sales Person 7,1 month,2/7/19,50,CPICC,CPI,AgM,Other,2,100.0,50,5000.0,"10/01/2019
Please quote part 3140RX000 with specific Molex connector 43020-0800- see attached drawing
MOQ to 50 pcs  and drawing for customer validation
Hanh",Unknown,No,Non Strategic,1/8/19 0:00,1/8/19,OP-007185,30,fr02,5000
OP-007189,DDDF,TR- ATAKEL - VOLKAN HF series,Turkey,EXPORT1,1-Joystick,1-Joystick,firetruck,Sales Person 4,6 months,7/7/19,10,Quotation,Quote,DgE,Other,0,76.25,25,0.0,No additional comments.,Unknown,No,Non Strategic,1/8/19 0:00,1/8/19,OP-007189,180,fr02,2000
OP-007193,TECHNOLOGIES ADDED,IDEC / LF1D,Netherlands,BE-NORTH,4-LF1D_SERIES,1-IDEC,production,Sales Person 21,3 months,4/8/19,70,Quotation,Quote,Other Electr. Appli,Other,0,150.46,75,0.0,No additional comments.,Unknown,No,Non Strategic,1/8/19 0:00,1/8/19,OP-007193,90,fr02,12500
OP-007194,HANDELSONDERNEMING HAARHUIS,IDEC / LF1B,Netherlands,BE-NORTH,4-LF1B_SERIES,1-IDEC,led resale,Sales Person 21,3 months,4/8/19,10,Quotation,Quote,Other Electr. Appli,Other,0,110.0,100,0.0,No additional comments.,Unknown,No,Non Strategic,1/8/19 0:00,1/8/19,OP-007194,90,fr02,11000
OP-007195,APEM COMPONENTS LTD,Launch Control switch,United Kingdom,SUBSIDIARY,1-SWITCH,1-SWITCH,sports car,Sales Person 17,3 months,4/9/19,80,CPI,CPICC,Indirect Sales,Ariel Motor Company,5,8.82,100,882.0,"9-1-2019 Hi Christophe, Please can you advise asapthe costs. Also we need a drawing for final approval customer is commited to buying this part. RB",Level 2 - Minor product modification,No,Standard,1/9/19 0:00,1/9/19,OP-007195,90,fr02,4410
OP-007196,APEM COMPONENTS LTD,Hare switch,United Kingdom,SUBSIDIARY,4-IP,1-SWITCH,construction equipment,Sales Person 17,6 months,7/8/19,50,CPI,CPICC,Indirect Sales,JCB COMPACT PRODUCTS,5,10.0,3500,35000.0,"11-12-2018 Seem quite straight forward. Please quote what you concisder to be a realistic MOQ RB
9-1-2019 The wire length has changed to 60cm, can we have a drawing please. RB",Level 2 - Minor product modification,No,Focus,1/9/19 0:00,1/9/19,OP-007196,180,fr02,31500
OP-007197,GROUP TOWER ELECTRONICS LTD,HK - TOWER - VTECH - DTSM-61NVTR - 641H/2,Hong Kong,EXPORT1,3-DTS,1-SWITCH,n/a,Sales Person 3,12 months,1/4/20,10,Quotation,Quote,Indirect Sales,Other,0,0.066,700000,0.0,No additional comments.,Unknown,No,Non Strategic,1/9/19 0:00,1/9/19,OP-007197,360,fr02,49000
OP-007198,Bosch Thermotechnik GmbH,Bosch_Push button,Germany,DE-Mitte,1-SWITCH,1-SWITCH,open flue low nox instantaneous gas wate,Sales Person 35,3 months,4/9/19,40,CPI,CPI,Ind. Automation,Other,15,0.3,150000,45000.0,No additional comments.,Level 4 - Customized product,No,Standard,1/9/19 0:00,1/9/19,OP-007198,90,fr02,45000
OP-007199,Komatsu Forest AB,Komatsu FD- LED modification,Sweden,SE-NORTH,1-SWITCH,1-SWITCH,cabin> forest machine,Sales Person 28,1 month,2/8/19,50,CPI,CPI,MaH,Komatsu Forest AB,25,10.0,500,5000.0,No additional comments.,Level 2 - Minor product modification,Yes,Focus,1/9/19 0:00,1/9/19,OP-007199,30,fr02,35000
OP-007201,ERMEC SL,SP - ERMEC - LAUDA ULTRACOOL - Q8F5CXXG28E with 1000 mm wire,Spain,EXPORT1,4-Q8,1-Indicator,circulation chillers,Sales Person 3,6 months,7/8/19,20,Quotation,Quote,Indirect Sales,Other,0,4.55,1000,0.0,No additional comments.,Unknown,No,Non Strategic,1/9/19 0:00,1/9/19,OP-007201,180,fr02,4000
OP-007203,YANMAR EUROPE BV,3140RAL020+IPR,Netherlands,BE-NORTH,4-3000 Series,1-Joystick,marine,Sales Person 21,1 month,2/9/19,30,Quotation,Quote,Other applications,Other,0,100.65,101,0.0,No additional comments.,Unknown,No,Non Strategic,1/10/19 0:00,1/10/19,OP-007203,30,fr02,10165
OP-007204,APEM COMPONENTS LTD,Black Italia panel,United Kingdom,SUBSIDIARY,3-Marketing Materials Keyboard,1-KEYBOARD,sports car,Sales Person 15,1 month,2/9/19,80,CPI,CPICC,Indirect Sales,Ginetta Cars,5,500.0,75,37500.0,"10-1-2019 Hi Marc, Please advise the cost as discussed RB",Level 2 - Minor product modification,No,Standard,1/10/19 0:00,1/10/19,OP-007204,30,fr02,37500
OP-007205,GROUP TOWER ELECTRONICS LTD,HKG - GROUP TOWER - DANFOSS IX buttons,Hong Kong,EXPORT1,1-SWITCH,1-SWITCH,danfoss power solutions,Sales Person 4,12 months,1/5/20,10,Quotation,Quote,Indirect Sales,Other,0,3.95,10000,0.0,No additional comments.,Unknown,No,Non Strategic,1/10/19 0:00,1/10/19,OP-007205,360,fr02,40000
OP-007206,WP TRONIC,PR0X60820111 / FAYMONVILLE BCCV2,Netherlands,BE-NORTH,2-Metal Keyboard,1-KEYBOARD,truck crane,Sales Person 21,3 months,4/10/19,70,CPI,CPI,Other Electr. Appli,FAYMONVILLE,10,120.0,100,12000.0,No additional comments.,Level 2 - Minor product modification,No,Standard,1/10/19 0:00,1/10/19,OP-007206,90,fr02,12000
OP-007207,VENTIL TEST EQUIPMENT B.V.,IDEC / LD6A+YW+FD,Netherlands,BE-NORTH,3-LIGHT,1-IDEC,valve testing equipment,Sales Person 21,3 months,4/10/19,30,Quotation,Quote,Ind. Automation,Other,0,120.0,100,0.0,No additional comments.,Unknown,No,Non Strategic,1/10/19 0:00,1/10/19,OP-007207,90,fr02,12000
OP-007208,TOBROCO-GIANT,IDEC / XA1E-BV312R price support,Netherlands,BE-SOUTH-EAST,3-Switches IDEC,1-SWITCH,skid steer laders,Sales Person 20,6 months,7/10/19,10,SpecialPrice,SP,MaH,GIANT-TOBROCO,0,0.0,6000,0.0,No additional comments.,Unknown,No,Non Strategic,1/11/19 0:00,1/11/19,OP-007208,180,fr02,57000
OP-007211,SKY HERO SA,MEC /QN-18550,Belgium,BE-SOUTH-WEST,4-5G SMD,1-SWITCH,drones,Sales Person 20,1 month,2/10/19,30,Quotation,Quote,Other Electr. Appli,Other,0,1.98,10000,0.0,No additional comments.,Unknown,No,Non Strategic,1/11/19 0:00,1/11/19,OP-007211,30,fr02,19800
OP-007214,TOBROCO-GIANT,IDEC / XW1E-BV412MF,Netherlands,BE-SOUTH-EAST,4-HW_SERIES,1-IDEC,skid steer loaders,Sales Person 20,3 months,4/11/19,10,SpecialPrice,SP,MaH,TROBROCO,0,0.0,6000,0.0,No additional comments.,Unknown,No,Non Strategic,1/11/19 0:00,1/11/19,OP-007214,90,fr02,63000
OP-007218,DDX,Kongsberg,Norway,SE-NORWAY,2-All Joystick,1-Joystick,capacitive deadmans grip,Sales Person 31,24 months,12/31/20,20,CPI,CPI,DgE,Other,10,1000.0,100,100000.0,No additional comments.,Level 4 - Customized product,No,Non Strategic,1/11/19 0:00,1/11/19,OP-007218,720,fr02,100000
OP-007219,KIWI PRECISION,12000 ET IA AVEC CONNECTEUR,France,SUD_EST,1-SWITCH,1-SWITCH,carabine de biathlon,Sales Person 10,<  1 month,1/26/19,80,CPI,CPI,Inst. Cons. Comp,Other,5,15.0,500,7500.0,No additional comments.,Level 1 - No product modification,No,Standard,1/11/19 0:00,1/11/19,OP-007219,15,fr02,7500
OP-007220,BOSCH REXROTH DSI SAS,D166-315 AVEC MARQUAGE LASER,France,SUD_EST,1-SWITCH,1-SWITCH,mah,Sales Person 10,<  1 month,1/29/19,90,CPI,CPI,Vehicles,Other,5,5.0,200,1000.0,No additional comments.,Level 2 - Minor product modification,Yes,Focus,1/14/19 0:00,1/14/19,OP-007220,15,fr02,1000
OP-007221,RENEKA,"Machine ""LIFE NEW""",France,NORD_1/2_EST,1-SWITCH,1-SWITCH,machine a café,Sales Person 7,12 months,1/9/20,10,CPI,CPI,Inst. Cons. Comp,Other,1,18.0,5000,90000.0,No additional comments.,Level 4 - Customized product,No,Standard,1/14/19 0:00,1/14/19,OP-007221,360,fr02,80000
OP-007223,MELJAC,IDM oblong et rond sans finition poli miroir,France,CENTRE_IDF_1/2_EST,1-SWITCH,1-SWITCH,domestique,Sales Person 2,3 months,4/14/19,30,CPI,CPI,Inst. Cons. Comp,Other,3,7.0,6000,42000.0,No additional comments.,Level 1 - No product modification,No,Standard,1/14/19 0:00,1/14/19,OP-007223,90,fr02,42000
OP-007224,ACTIA AUTOMOTIVE,switch 2 portes SD,France,SUD_OUEST,1-SWITCH,1-SWITCH,vehicle,Sales Person 30,12 months,1/9/20,50,CPI,CPI,Vehicles,Other,10,10.0,8500,85000.0,No additional comments.,Level 3 - Heavy product modification,No,Non Strategic,1/14/19 0:00,1/14/19,OP-007224,360,fr02,105000
OP-007226,AXIS COMMUNICATIONS AB,Mulan T1VL-RGB FADDE II,Sweden,SE-SOUTH,1-KEYBOARD,1-KEYBOARD,access control,Sales Person 48,24 months,1/3/21,30,CPI,CPI,Security,AXIS,5,850.0,3000,2550000.0,No additional comments.,Level 3 - Heavy product modification,Yes,Standard,1/14/19 0:00,1/14/19,OP-007226,720,fr02,26000
OP-007227,ACTIA AUTOMOTIVE,switch 2 portes SD,France,SUD_OUEST,1-SWITCH,1-SWITCH,vehicle,Sales Person 30,12 months,1/9/20,50,CPI,CPI,Vehicles,Other,10,10.0,8500,85000.0,No additional comments.,Level 3 - Heavy product modification,No,Non Strategic,1/14/19 0:00,1/14/19,OP-007227,360,fr02,105000
OP-007228,ERMEC SL,"ES - ERMEC- AIR ROPS QRM145BZZRYG12E  WIRES, POTTED , Molex",Spain,EXPORT1,4-QRM14,1-Indicator,anti roll over for tractors & quad,Sales Person 3,6 months,7/13/19,20,SpecialPriceCC,SP,Indirect Sales,Other,0,0.0,25000,0.0,No additional comments.,Unknown,No,Non Strategic,1/14/19 0:00,1/14/19,OP-007228,180,fr02,50000
OP-007229,ERMEC SL,"ES - ERMEC- AIR ROPS QRM145BZZRYG12E  WIRES, POTTED , Molex",Spain,EXPORT1,4-QRM14,1-Indicator,other,Sales Person 3,6 months,7/13/19,20,SpecialPriceCC,SP,Indirect Sales,Other,0,0.0,25000,0.0,No additional comments.,Unknown,No,Non Strategic,1/14/19 0:00,1/14/19,OP-007229,180,fr02,50000
OP-007230,Bosch Thermotechnik GmbH,Bosch_Push button,Germany,DE-Mitte,1-SWITCH,1-SWITCH,open flue low nox instantaneous gas wate,Sales Person 35,3 months,4/15/19,40,CPI,CPI,Ind. Automation,Other,15,1.0,150000,150000.0,No additional comments.,Level 4 - Customized product,No,Standard,1/15/19 0:00,1/15/19,OP-007230,90,fr02,150000
OP-007231,ART4  TECHNICAL SYSTEMS BV,FG fixed grip,Netherlands,BE-NORTH,3-Hand Grip Hall Effect,1-Joystick,scarifiers (floor coating remover),Sales Person 21,6 months,7/14/19,10,Quotation,Quote,Other Electr. Appli,Other,0,150.0,500,0.0,No additional comments.,Unknown,No,Non Strategic,1/15/19 0:00,1/15/19,OP-007231,180,fr02,75000
OP-007234,E.D. & A. NV,SL-1659-1-R1 Keypad,Belgium,BE-SOUTH-WEST,2-Membrane & Overlay,1-KEYBOARD,uv water threathment,Sales Person 20,3 months,4/15/19,10,CPI,CPI,Other Electr. Appli,Hanovia,10,15.0,250,3750.0,No additional comments.,Level 1 - No product modification,No,Standard,1/15/19 0:00,1/15/19,OP-007234,90,fr02,2500
OP-007240,"COVIS CO., LTD",KR - COVIS - HYUNDAI FORKLIFT - YOUWON - KL46J,South Korea,EXPORT1,4-KL,1-SWITCH,3t diesel forklift,Sales Person 3,12 months,1/11/20,10,SpecialPrice,SP,MaH,HYUNDAI,0,0.0,3000,0.0,No additional comments.,Unknown,No,Non Strategic,1/16/19 0:00,1/16/19,OP-007240,360,fr02,17000
OP-007241,"COVIS CO., LTD",KR - COVIS - HYUNDAI FORKLIFT - YOUWON - A02ESI,South Korea,EXPORT1,4-A02ES-I,1-SWITCH,3t diesel forklift,Sales Person 3,12 months,1/11/20,10,SpecialPrice,SP,MaH,HYUNDAI,0,0.0,3000,0.0,No additional comments.,Unknown,No,Non Strategic,1/16/19 0:00,1/16/19,OP-007241,360,fr02,12930
OP-007242,DDZU,Réduction tolérance poussoir 13000,France,NORD_1/2_EST,1-SWITCH,1-SWITCH,other,Sales Person 7,12 months,1/11/20,10,CPI,CPI,DgE,Other,5,12.5,350,4375.0,No additional comments.,Level 2 - Minor product modification,Yes,Focus,1/16/19 0:00,1/16/19,OP-007242,360,fr02,5000
